"zcta","trct"
"98019","53033032500"
"98224","53033032800"
"98032","53033029700"
"98168","53033027000"
"99999","53033990100"
"98146","53033026700"
"98146","53033027600"
"98166","53033027600"
"98032","53033028300"
"98032","53033028300"
"98032","53033028300"
"98108","53033026300"
"98014","53033032500"
"98042","53033029307"
"98058","53033029307"
"98030","53033029503"
"98032","53033029801"
"98003","53033030304"
"98002","53033031100"
"98002","53033031100"
"98092","53033031202"
"98092","53033031202"
"98092","53033031204"
"99999","53033990100"
"98068","53033032702"
"98068","53033032702"
"98068","53033032702"
"98045","53033032702"
"98068","53033032702"
"98045","53033032702"
"98068","53033032702"
"98068","53033032702"
"98068","53033032702"
"98068","53033032702"
"98068","53033032702"
"98068","53033032702"
"98068","53033032702"
"98068","53033032702"
"98224","53033032800"
"98224","53033032800"
"98224","53033032800"
"98224","53033032800"
"98224","53033032800"
"98224","53033032800"
"98224","53033032800"
"98068","53033032702"
"98068","53033032702"
"98068","53033032702"
"98068","53033032702"
"98068","53033032702"
"98068","53033032702"
"98068","53033032702"
"98224","53033032800"
"98224","53033032800"
"98224","53033032800"
"98224","53033032800"
"98065","53033032800"
"98065","53033032800"
"98065","53033032800"
"98045","53033032800"
"98045","53033032800"
"98045","53033032800"
"98045","53033032800"
"98045","53033032800"
"98045","53033032800"
"98045","53033032800"
"98045","53033032800"
"98045","53033032800"
"98045","53033032800"
"98045","53033032800"
"98045","53033032800"
"98288","53033032800"
"98288","53033032800"
"98288","53033032800"
"98288","53033032800"
"98288","53033032800"
"98288","53033032800"
"98288","53033032800"
"98288","53033032800"
"98288","53033032800"
"98288","53033032800"
"98288","53033032800"
"98288","53033032800"
"98288","53033032800"
"98288","53033032800"
"98030","53033029700"
"98288","53033032800"
"98288","53033032800"
"98068","53033032702"
"98032","53033029700"
"98224","53033032800"
"98045","53033032800"
"98288","53033032800"
"98288","53033032800"
"98288","53033032800"
"98288","53033032800"
"98288","53033032800"
"98288","53033032800"
"98030","53033029700"
"98288","53033032800"
"98288","53033032800"
"98288","53033032800"
"98288","53033032800"
"98045","53033032702"
"98166","53033027600"
"98166","53033027600"
"98068","53033032702"
"98045","53033032702"
"98045","53033032702"
"98045","53033032702"
"98068","53033032702"
"98068","53033032702"
"98068","53033032702"
"98068","53033032702"
"98068","53033032702"
"98032","53033029700"
"98068","53033032702"
"98068","53033032702"
"98068","53033032702"
"98045","53033032702"
"98045","53033032702"
"98045","53033032702"
"98058","53033029307"
"98058","53033029307"
"98058","53033029307"
"98058","53033029307"
"98058","53033029307"
"98058","53033029307"
"98058","53033029307"
"98288","53033032800"
"98068","53033032702"
"98288","53033032800"
"98058","53033029307"
"98288","53033032800"
"98288","53033032800"
"98288","53033032800"
"98288","53033032800"
"98056","53033025200"
"98288","53033032800"
"98058","53033029307"
"98288","53033032800"
"98058","53033029307"
"98058","53033029307"
"98042","53033029307"
"98042","53033029307"
"98058","53033029307"
"98058","53033029307"
"98058","53033029307"
"98068","53033032702"
"98068","53033032702"
"98045","53033032702"
"98068","53033032702"
"98032","53033029700"
"98045","53033032702"
"98288","53033032800"
"98288","53033032800"
"98068","53033032702"
"98288","53033032800"
"98068","53033032702"
"98068","53033032702"
"98058","53033029307"
"98058","53033029307"
"98224","53033032800"
"98058","53033029307"
"98032","53033029700"
"98032","53033029700"
"98032","53033029700"
"98030","53033029700"
"98030","53033029700"
"98030","53033029700"
"98030","53033029700"
"98030","53033029700"
"98030","53033029700"
"98030","53033029700"
"98032","53033029700"
"98030","53033029700"
"98030","53033029700"
"98032","53033029700"
"98030","53033029700"
"98042","53033031800"
"98224","53033032800"
"98224","53033032800"
"98224","53033032800"
"98224","53033032800"
"98058","53033029307"
"98288","53033032800"
"98288","53033032800"
"98288","53033032800"
"98288","53033032800"
"98045","53033032800"
"98045","53033032800"
"98045","53033032800"
"98288","53033032800"
"98288","53033032800"
"98288","53033032800"
"98288","53033032800"
"98288","53033032800"
"98288","53033032800"
"98045","53033032702"
"98288","53033032800"
"98068","53033032702"
"98068","53033032702"
"98288","53033032800"
"98224","53033032800"
"98288","53033032800"
"98288","53033032800"
"98288","53033032800"
"98288","53033032800"
"98045","53033032702"
"98288","53033032800"
"98288","53033032800"
"98288","53033032800"
"98068","53033032702"
"98058","53033029307"
"98058","53033029307"
"98068","53033032702"
"98068","53033032702"
